,annotation_coarse,feature,mean,proportion
253,AC-progenitor-like,CDH1,1.0,0.03654121759876732
254,Gliosis-like,CDH1,0.4450533154796477,0.027585454941939706
255,Hypoxic,CDH1,0.2183665471498974,0.013331779173283988
256,NPC-neuronal-like,CDH1,0.16757429661052942,0.014449150864969717
257,OPC-NPC-like,CDH1,0.15923157599270862,0.010015780070162626
258,OPC-like,CDH1,0.2520310851965196,0.013933583698916351
259,OPC-neuronal-like,CDH1,0.07315311554725891,0.010183659053449494
260,Proliferative,CDH1,0.0,0.01015091627739849
261,AC-gliosis-like,FOXC2,0.0,0.00022764967966437932
262,AC-progenitor-like,FOXC2,0.049454076062415024,0.00017396634993745494
263,Gliosis-like,FOXC2,1.0,0.0009813007686856022
264,Hypoxic,FOXC2,0.438199960125267,0.00043710751387816355
265,NPC-neuronal-like,FOXC2,0.32062135542189707,0.0004354538616840188
266,OPC-NPC-like,FOXC2,0.04844816634835826,0.00015649656359629103
267,OPC-like,FOXC2,0.07080189552455166,0.00024185584048263677
268,OPC-neuronal-like,FOXC2,0.06794726474506892,0.0001765952437014363
269,Proliferative,FOXC2,0.18585300810637492,0.00024703557312252963
270,AC-gliosis-like,STAT3,0.6862401729432869,0.5585547497479593
271,AC-progenitor-like,STAT3,0.6062678642892427,0.5417229295933329
272,Gliosis-like,STAT3,1.0,0.6703374584310091
273,Hypoxic,STAT3,0.7984694906315827,0.5500852359652062
274,NPC-neuronal-like,STAT3,0.2501178324304431,0.4172043862079886
275,OPC-NPC-like,STAT3,0.0,0.27124766885327145
276,OPC-like,STAT3,0.47719276555094015,0.4502280834940107
277,OPC-neuronal-like,STAT3,0.29890853823201596,0.3951024252413468
278,Proliferative,STAT3,0.6605910669486909,0.5528656126482213
279,AC-gliosis-like,COL1A1,0.2863661318843171,0.010211714202087873
280,AC-progenitor-like,COL1A1,0.06936410182746058,0.0038024073629186585
281,Gliosis-like,COL1A1,1.0,0.03619909502262444
282,Hypoxic,COL1A1,0.2972096866957753,0.010111753821048184
283,NPC-neuronal-like,COL1A1,0.07834396428770349,0.004037844899251811
284,OPC-NPC-like,COL1A1,0.0,0.0008216069588805279
285,OPC-like,COL1A1,0.11104315511321616,0.003883129883304557
286,OPC-neuronal-like,COL1A1,0.013302587092120817,0.0016482222745467388
287,Proliferative,COL1A1,0.13397324929466098,0.005165289256198347
288,AC-gliosis-like,CDH2,1.0,0.8305310741812741
289,AC-progenitor-like,CDH2,0.46126987000031205,0.7318184454035606
290,Gliosis-like,CDH2,0.6072455782609228,0.719511530284032
291,Hypoxic,CDH2,0.27007562497088095,0.6195270496699838
292,NPC-neuronal-like,CDH2,0.0,0.5687225367166778
293,OPC-NPC-like,CDH2,0.2553618393235539,0.6489390837126201
294,OPC-like,CDH2,0.24219510453789508,0.6388084568925555
295,OPC-neuronal-like,CDH2,0.5194243383209352,0.7153873322345184
296,Proliferative,CDH2,0.5426864594241152,0.7774658641753504
297,AC-gliosis-like,SMAD2,1.0,0.47721877134215746
298,AC-progenitor-like,SMAD2,0.6301828512583769,0.44014314945366284
299,Gliosis-like,SMAD2,0.9901495906125161,0.5134928855694271
300,Hypoxic,SMAD2,0.7309641649363525,0.4114930135649032
301,NPC-neuronal-like,SMAD2,0.0,0.35263845453465814
302,OPC-NPC-like,SMAD2,0.8797547793444973,0.434851784712894
303,OPC-like,SMAD2,0.6174981056204671,0.40015048807852255
304,OPC-neuronal-like,SMAD2,0.711256536096996,0.4162938544855192
305,Proliferative,SMAD2,0.6027060688150375,0.45387172116421126
306,AC-gliosis-like,TGFB1,0.7537079437720204,0.14498032456340043
307,AC-progenitor-like,TGFB1,0.5378383312362487,0.12094803376604012
308,Gliosis-like,TGFB1,1.0,0.2005669737774628
309,Hypoxic,TGFB1,0.8587082706929694,0.13968499118499847
310,NPC-neuronal-like,TGFB1,0.07195239850949718,0.06060726020347571
311,OPC-NPC-like,TGFB1,0.05883676980468593,0.04860522437694806
312,OPC-like,TGFB1,0.22451198547148618,0.07027927631357954
313,OPC-neuronal-like,TGFB1,0.0,0.04450200141276195
314,Proliferative,TGFB1,0.4477055917208781,0.11657833273445922
315,AC-gliosis-like,RELB,0.3701056552151054,0.08993788415883443
316,AC-progenitor-like,RELB,0.2435770614427597,0.07123507824343692
317,Gliosis-like,RELB,1.0,0.21283323338603283
318,Hypoxic,RELB,0.5089894961910216,0.09635306630920985
319,NPC-neuronal-like,RELB,0.04678986520963833,0.04284272198250267
320,OPC-NPC-like,RELB,0.0,0.027882471080739185
321,OPC-like,RELB,0.13610069536503622,0.048310704136406694
322,OPC-neuronal-like,RELB,0.04624975177323509,0.03673181068989875
323,Proliferative,RELB,0.38540785058176297,0.0935591088753144
324,AC-gliosis-like,SNAI1,0.2336975497263422,0.004748121890142769
325,AC-progenitor-like,SNAI1,0.12002355867167544,0.003189383082186674
326,Gliosis-like,SNAI1,0.17594390318461745,0.00441585345908521
327,Hypoxic,SNAI1,1.0,0.010228315824749028
328,NPC-neuronal-like,SNAI1,0.11588298148087291,0.003246110605280868
329,OPC-NPC-like,SNAI1,0.0,0.0015519242556632194
330,OPC-like,SNAI1,0.21794707375592312,0.0035606554293277077
